사업부구분,대분류,중분류,소분류,2025년연간,25년1월,25년2월,25년3월,25년4월,25년5월,25년6월,25년7월,25년8월,25년9월,25년10월,25년11월,25년12월
KIDS,출장비,국내출장비,마케팅,4994,0,0,,8427,168,0,,187,2659,12063,257.13,7372.27
KIDS,출장비,국내출장비,인테리어,24970,0,0,,711,14428,1624,16910,6903,10211,,2451.13,3033.38
KIDS,출장비,국내출장비,Kids Department,29959,0,0,,,5775,727,3530,3000,125,,459.68,3533.92
KIDS,출장비,국내출장비,VMD,122106,0,22236,17655,12789,17372,4193,18345,19767,27720,6066,11378.58,614.96
DISCOVERY,출장비,국내출장비,MD,25671,588,118,4243,5008,0,,18444,1168,7732,10971,3111.63,20961.84
DISCOVERY,출장비,국내출장비,Wholesale,104860,0,0,,,,7691,9066,7171,3943,8345,6782.33,8074.15
DISCOVERY,출장비,국내출장비,마케팅,67959,7757,282,,,,2027,13256,600,4438,23511,631.82,13482.58
DISCOVERY,출장비,국내출장비,인테리어,127349,2516,0,,14092,2766,15654,4136,3686,3386,4434,2596.32,12766.82
DISCOVERY,출장비,국내출장비,온라인,4993,0,0,,,,,,0,,,,
DISCOVERY,출장비,국내출장비,리테일,19972,0,0,,,,,,0,,,,
DISCOVERY,출장비,국내출장비,VMD,156659,4009,353,4212,9892,3525,12539,7823,856,8400,5484,141.14,9752.89
MLB,출장비,해외출장비,MGT,104550,5408,14442,6239,,17627,2849,14551,,14019,1432,,
MLB,출장비,해외출장비,Business Operation,41813,3263,0,6051,,,5498,10530,3267,27525,,13784.1,11248.39
MLB,출장비,해외출장비,IT,0,0,0,,,,,,,,,,
MLB,출장비,해외출장비,Process Innovation,0,0,0,,,,,,,,,,
MLB,출장비,해외출장비,BP,0,0,0,,,,,,,,,,
MLB,출장비,해외출장비,BD,0,0,0,,,,,,,,,,
MLB,출장비,해외출장비,온라인,9489,7166,2304,,,,,4925,,,,,
MLB,출장비,해외출장비,상품기획(MP),18460,0,0,,,,,,,,,,
MLB,출장비,해외출장비,Wholesale,11820,0,0,,,,,,,,,,
MLB,출장비,해외출장비,리테일,0,0,0,,,,,,,,,,
MLB,출장비,해외출장비,VMD,11820,0,0,,,,,,,,,,
MLB,출장비,해외출장비,MD,323870,0,0,25378,35489,8609,,,,,,82482.78,
MLB,출장비,해외출장비,마케팅,2767,2767,0,,,,,,,,,,
MLB,출장비,해외출장비,인테리어,27440,0,0,,,,,30896,7807,,,,
MLB,출장비,해외출장비,유통MD(MO),37360,0,0,,,,,,,,,,
KIDS,출장비,해외출장비,MD,48480,0,0,6952,11528,,17767,4660,,16965,23222,29532.63,1932.2
KIDS,출장비,해외출장비,Kids Department,32110,0,0,2249,2636,,9306,1998,,2257,,15592.2,
KIDS,출장비,해외출장비,Wholesale,0,0,0,,,,,,,,,,
KIDS,출장비,해외출장비,마케팅,0,0,0,,,,,,,,1514,,
KIDS,출장비,해외출장비,인테리어,0,0,0,,,,,,,,,,
KIDS,출장비,해외출장비,VMD,0,0,0,,,,,,,,696,,
DISCOVERY,출장비,해외출장비,MD,293904,27248,21525,6322,,5965,10629,35771,54794,39476,,19621.62,3888.38
DISCOVERY,출장비,해외출장비,온라인,8930,0,0,,,,,,,,,,
DISCOVERY,출장비,해외출장비,리테일,17860,0,0,,,,,,,,,,
