사업부구분,대분류,중분류,소분류,2024년 연간,24년1월,24년2월,24년3월,24년4월,24년5월,24년6월,24년7월,24년8월,24년9월,24년10월,24년11월,24년12월
MLB,수주회,MLB,SS,210548,,210548,,,,,,,,,,
MLB,수주회,MLB,FW,8450117,,,,,,8657620,,-207503,,,,
KIDS,수주회,KIDS,SS,0,,,,,,,,,,,,
KIDS,수주회,KIDS,FW,347068,,,,,,,347068,,,,,
DISCOVERY,수주회,DISCOVERY,SS,0,,,,,,,,,,,,
DISCOVERY,수주회,DISCOVERY,FW,979138,,,,,,,,,979138,,,
DUVETICA,수주회,DUVETICA,SS,307370,307370,,,,,,,,,,,
DUVETICA,수주회,DUVETICA,FW,0,,,,,,,,,,,,
SUPRA,수주회,SUPRA,SS,241911,,241911,,,,,,,,,,
SUPRA,수주회,SUPRA,FW,0,,,,,,,,,,,,
MLB,감가상각비,MLB,유형자산 감가상각비,932174,83906,71769,75316,80316,88807,78120,76954,79025,71311,73207,76934,76509
KIDS,감가상각비,KIDS,유형자산 감가상각비,39496,,3982,3829,3829,3829,3829,3829,3816,3369,3369,3369,2446
DISCOVERY,감가상각비,DISCOVERY,유형자산 감가상각비,0,,,,,,,,,,,,
SUPRA,감가상각비,SUPRA,유형자산 감가상각비,11638,,710,710,710,710,710,1348,1348,1348,1348,1348,1348
DUVETICA,감가상각비,DUVETICA,유형자산 감가상각비,11856,,1482,1482,1482,1482,1482,741,741,741,741,741,741
MLB,감가상각비,MLB,무형자산 상각비,2120239,189814,189606,189990,171889,173514,173514,173514,173514,173514,173514,173514,164342
KIDS,감가상각비,KIDS,무형자산 상각비,0,,,,,,,,,,,,
DISCOVERY,감가상각비,DISCOVERY,무형자산 상각비,0,,,,,,,,,,,,
SUPRA,감가상각비,SUPRA,무형자산 상각비,2288,,208,208,208,208,208,208,208,208,208,208,208
MLB,감가상각비,MLB,인테리어 상각비,2723869,225725,229331,225518,225894,225574,224006,225967,249188,261624,264210,260493,106339
KIDS,감가상각비,KIDS,인테리어 상각비,1603,,315,212,182,107,100,141,132,134,126,94,60
DISCOVERY,감가상각비,DISCOVERY,인테리어 상각비,30,,,,,,,,0,0,3,18,9
SUPRA,감가상각비,SUPRA,인테리어 상각비,44,,24,12,-5,33,-3,-10,-4,-3,0,-2,2
공통,임차료,사무실임차료,3층,2995542,0,272322,272322,272322,272322,272322,272322,272322,272322,272322,272322,272322
공통,임차료,사무실임차료,35층,5868780,489065,489065,489065,489065,489065,489065,489065,489065,489065,489065,489065,489065
공통,임차료,사무실임차료,35층 (2024.10.15),294581,0,0,0,0,0,0,0,0,0,62017,116282,116282
공통,임차료,사무실임차료,39층,7088224,589161,589161,589161,589161,589161,589161,589161,589161,589161,589161,589161,607453
공통,임차료,사무실임차료,38층(25년 신규),0,0,0,0,0,0,0,0,0,0,0,0,0
공통,임차료,관리비,,2186820,175282,177507,177831,173818,175331,175831,175056,188542,195276,189025,193234,190087
공통,세금과공과,증치세 부가 지방세,,10427181,2814012,0,0,0,1840572,1321000,626454,0,1231817,74334,178694,2340298
공통,세금과공과,인지세,,2671675,341391,176977,221101,165506,115702,132402,259115,287724,325603,224283,153218,268653
공통,차량렌트비,KIA,,124185,10333,10333,10333,11700,9008,10354,10354,10354,10354,10354,10354,10354
공통,차량렌트비,ALPHA,,397512,33000,33000,33000,33168,33168,33168,33168,33168,33168,33168,33168,33168
공통,차량렌트비,차량유지비,,62677,8630,7294,-491,6744,6732,2406,8889,4445,7162,5390,2675,2801
MLB,출장비,국내출장비,MGT,210620,13224,8357,-38623,59710,-12685,60213,30007,5537,10429,2225,70642,1584
MLB,출장비,국내출장비,재무,-6,,,,,,,,0,-6,,,
MLB,출장비,국내출장비,법무,5122,,,,,,,,,334,,4788,0
MLB,출장비,국내출장비,Business Operation,0,,,,,,,,,,,,
MLB,출장비,국내출장비,Procurement,10776,204,,,,,,,0,7222,129,3221,0
MLB,출장비,국내출장비,Supply Chain,13939,1339,-82,1848,804,-34,,1163,2161,1895,2710,975,1160
MLB,출장비,국내출장비,마케팅,76325,1887,2731,0,12982,-383,0,13175,3931,1811,23840,6640,9711
MLB,출장비,국내출장비,BD,3450,,,,629,-36,,,2344,80,,433,
MLB,출장비,국내출장비,온라인,34788,7109,4123,-67,13695,1862,1246,146,1005,1803,1304,156,2406
MLB,출장비,국내출장비,상품기획(MP),2808,1610,1198,,,,,,,,,,
MLB,출장비,국내출장비,Wholesale,248061,27310,2030,32269,78622,11932,5719,24911,14506,25511,21894,15220,-11863
MLB,출장비,국내출장비,리테일,24310,,,,,,,6943,5614,-1119,1945,7383,3544
MLB,출장비,국내출장비,VMD,39767,323,4303,10714,10916,220,0,6493,1389,3602,1807,,
MLB,출장비,국내출장비,MD,42991,116,0,14906,22475,43,0,0,3122,-448,0,2777,0
MLB,출장비,국내출장비,인테리어,504551,37581,118,52915,28190,3462,8286,33832,2917,35839,63301,53161,184949
MLB,출장비,국내출장비,유통MD(MO),12263,,,4638,7628,-54,,,,51,0,,
KIDS,출장비,국내출장비,MD,132,,,,,,,,,,,132,
KIDS,출장비,국내출장비,Wholesale,28645,0,0,0,495,7176,0,281,0,8858,6836,4917,82
KIDS,출장비,국내출장비,리테일,10458,,2525,228,76,-85,0,370,2636,377,1187,2772,372
KIDS,출장비,국내출장비,마케팅,2608,,,,216,,1217,,,,764,,411
KIDS,출장비,국내출장비,인테리어,7875,0,0,0,0,0,0,0,0,,7875,,
KIDS,출장비,국내출장비,Kids Department,21659,,,,,,,,,427,6420,6028,8784
KIDS,출장비,국내출장비,VMD,37544,213,-12,4994,5644,1500,843,3287,1834,7289,9669,2283,
DISCOVERY,출장비,국내출장비,MD,41914,,,,,,,,3703,-2357,13205,13848,13515
DISCOVERY,출장비,국내출장비,Wholesale,3666,,,,,,,,,,,3422,244
DISCOVERY,출장비,국내출장비,마케팅,49290,,,,,,,,,,30478,9438,9374
DISCOVERY,출장비,국내출장비,인테리어,12917,,,,,,,,,1292,,5415,6210
DISCOVERY,출장비,국내출장비,온라인,0,,,,,,,,,,,,
DISCOVERY,출장비,국내출장비,리테일,0,,,,,,,,,,,,
DISCOVERY,출장비,국내출장비,VMD,36791,,,,,,,,,,2291,6773,27727
DUVETICA,출장비,국내출장비,MD,6599,,,6484,8664,-8681,,,132,0,,,
DUVETICA,출장비,국내출장비,인테리어,12360,9195,392,-32,2864,-59,,,,,,,
DUVETICA,출장비,국내출장비,VMD,16419,1238,,,14135,890,,,2458,-2302,,,
SUPRA,출장비,국내출장비,MD,4583,4016,567,,,,,,,,,,
SUPRA,출장비,국내출장비,Wholesale,1244,1244,,,,,,,,,,,
SUPRA,출장비,국내출장비,인테리어,20934,17505,-135,1772,,403,0,1389,,,,,
SUPRA,출장비,국내출장비,VMD,25213,16231,4206,3174,-18,566,831,,,,,223,0
MLB,출장비,해외출장비,MGT,41594,0,0,67,0,,24226,2803,4906,4005,5587,0,0
MLB,출장비,해외출장비,Business Operation,26348,,,,,3026,4752,15877,0,,,2693,
MLB,출장비,해외출장비,IT,13339,,,,,0,9042,4297,,,,,
MLB,출장비,해외출장비,Process Innovation,11150,,,,,0,3793,7131,,226,0,,
MLB,출장비,해외출장비,BP,0,,,,,,,,,,,,
MLB,출장비,해외출장비,BD,4214,,,,,0,2939,0,,,,,1275
MLB,출장비,해외출장비,온라인,64594,,,,,0,45765,14196,2292,2341,,,
MLB,출장비,해외출장비,상품기획(MP),8125,,,,,0,8125,0,,,,,
MLB,출장비,해외출장비,Wholesale,52785,0,0,0,0,0,49317,3468,0,0,0,0,0
MLB,출장비,해외출장비,리테일,0,,,,,,,,,,,,
