사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 26년1월 , 26년2월 , 26년3월 , 26년4월 , 26년5월 , 26년6월 , 26년7월 , 26년8월 , 26년9월 , 26년10월 , 26년11월 , 26년12월 
共同,IT手续费,OMS,New,공통,IT수수료,OMS,New,46659,,,,,,,,,,,
共同,IT手续费,CN SAP,维护费 (IT),공통,IT수수료,CN SAP,연간 유지보수비용 (IT),254402,,,,,,,,,,,
共同,IT手续费,CN SAP,维护费 (PI),공통,IT수수료,CN SAP,연간 유지보수비용 (PI),23162,,,,,,,,,,,
共同,IT手续费,CN SAP,upgrade,공통,IT수수료,CN SAP,"업그레이드 비용(확장,인터페이스 등)",,,,,,,,,,,,
共同,IT手续费,Data Server,阿里云,공통,IT수수료,Data Server,Ali클라우드,36375,,,,,,,,,,,
共同,IT手续费,Data Server,AWS云,공통,IT수수료,Data Server,aws클라우드,1599,,,,,,,,,,,
共同,IT手续费,Data Server,安畅,공통,IT수수료,Data Server,anchnet서버,6151,,,,,,,,,,,
共同,IT手续费,Data Server,读写分离,공통,IT수수료,Data Server,읽기쓰기 분리 연사용료,,,,,,,,,,,,
共同,IT手续费,Data Server,NAS维保,공통,IT수수료,Data Server,NAS유지보수,,,,,,,,,,,,
共同,IT手续费,Anti-virus Wall,防火墙服务,공통,IT수수료,보안시스템 (방화벽),보안시스템 (방화벽),,,,,,,,,,,,
共同,IT手续费,Anti-virus Wall,官网SSL证书,공통,IT수수료,보안시스템 (방화벽),공홈 SSL증서,,,,,,,,,,,,
共同,IT手续费,Office Hardware&Construction,新仓系统对接,공통,IT수수료,네트워크&ASDL설치,인터페이스,,,,,,,,,,,,
共同,IT手续费,Office Hardware&Construction,办公室IT装修,공통,IT수수료,네트워크&ASDL설치,사무실 IT설비,,,,,,,,,,,,
共同,IT手续费,Office Hardware&Construction,办公室弱电工程,공통,IT수수료,네트워크&ASDL설치,사무실 전기공사,,,,,,,,,,,,
