사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 2026년 연간 , 26년1월 , 26년2월 , 26년3월 , 26년4월 , 26년5월 , 26년6월 , 26년7월 , 26년8월 , 26년9월 , 26년10월 , 26년11월 , 26년12월 
共同,其他,快递费,,공통,기타,물류비,,"453,000","37,750","37,750","37,750","37,750","37,750","37,750","37,750","37,750","37,750","37,750","37,750","37,750"
共同,其他,培训费,,공통,기타,교육비,,"100,180", - , - , - , - , - ,180, - , - , - ,"100,000", - , - 
DISCOVERY,commission,INT,MD模具开发,DISCOVERY,지급수수료,인테리어 개발,MD금형개발,"690,000","80,000","20,000","90,000","20,000","20,000", - ,"85,000","70,000","120,000","70,000","95,000","20,000"
MLB,commission,INT,形象开发,MLB,지급수수료,인테리어 개발,이미지 개발,"987,902","55,400", - ,"160,875","160,875","160,875","160,875","48,167","48,167","48,167","48,167","48,167","48,167"
KIDS,commission,INT,形象开发,KIDS,지급수수료,인테리어 개발,이미지 개발,"196,500","125,000", - ,"17,875","17,875","17,875","17,875", - , - , - , - , - , - 
DISCOVERY,commission,INT,形象开发,DISCOVERY,지급수수료,인테리어 개발,이미지 개발,"465,202","18,700", - ,"89,250","89,250","89,250","89,250","14,917","14,917","14,917","14,917","14,917","14,917"
MLB,commission,INT,Showroom,MLB,지급수수료,인테리어 개발,Showroom,"209,400", - , - ,"45,900","17,925", - ,"17,925", - ,"17,925","45,900", - ,"17,925","45,900"
KIDS,commission,INT,Showroom,KIDS,지급수수료,인테리어 개발,Showroom,"79,000", - , - , - , - , - ,"79,000", - , - , - , - , - , - 
DISCOVERY,commission,INT,Showroom,DISCOVERY,지급수수료,인테리어 개발,Showroom,"157,800", - , - , - ,"7,100","136,500", - , - ,"7,100", - , - , - ,"7,100"
MLB,commission,INT,VMD,MLB,지급수수료,인테리어 개발,VMD 개발,0, - , - , - , - , - , - , - , - , - , - , - , - 
KIDS,commission,INT,VMD,KIDS,지급수수료,인테리어 개발,VMD 개발,0, - , - , - , - , - , - , - , - , - , - , - , - 
