사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 2026년 연간 ,조정,조정후 예산,,,
共同,IT手续费,Office Hardware&Construction,新仓系统对接,공통,IT수수료,네트워크&ASDL설치,인터페이스,0,,0,,,
共同,IT手续费,Office Hardware&Construction,办公室IT装修,공통,IT수수료,네트워크&ASDL설치,사무실 IT설비,0,,0,,,
共同,IT手续费,Office Hardware&Construction,办公室弱电工程,공통,IT수수료,네트워크&ASDL설치,사무실 전기공사,0,,0,,,
共同,IT手续费,Office Hardware&Construction,Office Hardware Upgrade,공통,IT수수료,네트워크&ASDL설치,Office Hardware Upgrade,0,,0,,,
共同,IT手续费,Office Software,Adobe(PS/AI) license,공통,IT수수료,사무실 소프트웨어,Adobe(PS/AI) license,"72,642",,"72,642",,,
共同,IT手续费,Office Software,MS office,공통,IT수수료,사무실 소프트웨어,MS office,"208,020",,"208,020",,,
共同,IT手续费,Office Software,POLYCOM视频专线,공통,IT수수료,사무실 소프트웨어,POLYCOM 영상통화,"36,227",,"36,227",,,
共同,IT手续费,Office Software,VPN,공통,IT수수료,사무실 소프트웨어,VPN,"130,864",,"130,864",,,
共同,IT手续费,Office Software,ADSL 使用费,공통,IT수수료,사무실 소프트웨어,ADSL 사용료,"54,411",,"54,411",,,
共同,IT手续费,Office Software,ZHIXINGLI APP,공통,IT수수료,사무실 소프트웨어,ZHIXINGLI APP,0,,0,,,
共同,IT手续费,API,,공통,IT수수료,API (인터페이스 관련),,0,,0,,,
共同,IT手续费,OA,,공통,IT수수료,OA(AI기능/자동화도입),,"346,510",,"346,510",,,
共同,IT手续费,E-Commerce,DX 竞品数据购买,공통,IT수수료,온라인플랫폼 서비스 비용,DX 경쟁상품 데이터 구매,0,,0,,,
共同,IT手续费,AI & 识别系统,,공통,IT수수료,AI식별시스템,,"1,188,112",,"1,188,112",,,
共同,IT手续费,Snowflake,,공통,IT수수료,Snowflake,,"396,228",,"396,228",,,
共同,IT手续费,搬仓相关 interface,,공통,IT수수료,창고이전 후 인터페이스,,0,"345,000","345,000",,,
共同,IT手续费,维保(New),,공통,IT수수료,유지보수 (New),,"60,848",,"60,848",,,
共同,IT手续费,RMS,,공통,IT수수료,RMS 반품 개발 시스템,,"99,999",,"99,999",,,
共同,IT手续费,数据收集许可,,공통,IT수수료,데이터 수집 허가비용,,"330,187",,"330,187",,,
共同,IT手续费,混合云架构优化,,공통,IT수수료,하이브리드 클라우드 아키텍처 최적화,,0,,0,,,
共同,IT手续费,信息安全审计，备案合规，异地备份（云安全巡检）,,공통,IT수수료,"정보보안 감사, 원격 백업서비스",,"191,827",,"191,827",,,
,,,,공통,IT수수료,DLP(사내정보 유출방지 시스템),,,"168,939","168,939",,,
,,,,공통,IT수수료,SAP재고관리시스템,,,"144,000","144,000",,,
共同,IT手续费,E-Commerce,数据采买&运营,공통,IT수수료,온라인플랫폼 서비스 비용,데이터 구매&운영,"1,690,712","766,125","2,456,837",,,
共同,IT手续费,E-Commerce,潮流数据采买,공통,IT수수료,온라인플랫폼 서비스 비용,트랜드 데이터 구매,"71,172",,"71,172",,,
共同,IT手续费,E-Commerce,CRM(New Provider),공통,IT수수료,온라인플랫폼 서비스 비용,CRM(New Provider),"1,085,104",,"1,085,104",,,
共同,commission,盘点服务费,,공통,지급수수료,재고실사 서비스비용,,"980,000","23,465","1,003,465",,,
共同,commission,高尔夫会员更换费,,공통,지급수수료,골프 회원 연회비,,"5,000",,"5,000",,,
共同,commission,零售培训软件服务,,공통,지급수수료,리테일 교육 소프트웨어,,"213,480","-8,898","204,582",,,
共同,commission,保险服务,D&O,공통,지급수수료,보험비,임직원상업보험,"113,352",0,"113,352",,,
共同,commission,保险服务,员工商业保险,공통,지급수수료,보험비,임원배상책임보험,"638,320","-54,001","584,319",,,
共同,commission,市场监测服务费,,공통,지급수수료,매장 DP점검 외주용역,,"515,579","-96,821","418,759",,,
